execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
12,2023-06-02 11:52:04.425667,56.8,86.7,25440,12,False,437.0,22,
10,2023-06-02 11:52:04.507527,54.3,86.7,25440,12,False,437.0,22,
18,2023-06-02 11:52:04.599462,54.1,86.7,25440,12,False,437.0,22,
12,2023-06-02 11:52:04.677088,59.5,86.7,25440,12,False,437.0,22,
10,2023-06-02 11:52:04.758820,53.9,86.7,25440,12,False,437.0,22,
11,2023-06-02 11:52:04.842941,55.2,86.7,25440,12,True,117.0,22,
11,2023-06-02 11:52:04.927388,54.9,86.7,25440,12,True,27.0,22,
10,2023-06-02 11:52:05.010440,55.9,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.094051,54.1,86.7,25440,12,False,27.0,22,
12,2023-06-02 11:52:05.179544,53.7,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.261540,56.0,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.345523,53.7,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.429179,56.0,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.512879,53.8,86.7,25440,12,False,27.0,22,
10,2023-06-02 11:52:05.596440,53.4,86.7,25440,12,False,27.0,22,
12,2023-06-02 11:52:05.681901,53.0,86.7,25440,12,True,206.0,22,
10,2023-06-02 11:52:05.763841,54.1,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:05.847771,52.3,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:05.931385,55.1,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.015364,53.7,86.7,25440,12,False,206.0,22,
12,2023-06-02 11:52:06.100379,55.6,86.7,25440,12,False,206.0,22,
11,2023-06-02 11:52:06.184248,53.7,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.267023,52.3,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.350931,53.7,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.434518,55.6,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.518295,53.3,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.601746,53.7,86.7,25440,12,False,206.0,22,
11,2023-06-02 11:52:06.687627,52.2,86.7,25440,12,False,206.0,22,
21,2023-06-02 11:52:06.781636,54.2,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.854513,57.5,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:06.938254,54.8,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.022142,52.6,86.7,25440,12,False,206.0,22,
13,2023-06-02 11:52:07.108303,54.6,86.7,25440,12,False,206.0,22,
11,2023-06-02 11:52:07.191162,52.3,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.273953,53.7,86.7,25440,12,False,206.0,22,
19,2023-06-02 11:52:07.366112,53.7,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.442025,58.2,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.525796,53.4,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.609101,52.6,86.7,25440,12,False,206.0,22,
11,2023-06-02 11:52:07.694533,51.9,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.776988,53.4,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.861425,52.6,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:07.944997,55.3,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:08.028915,52.7,86.7,25440,12,False,206.0,22,
18,2023-06-02 11:52:08.120232,53.4,86.7,25440,12,False,206.0,22,
